date, pm25, pm10, o3, no2, so2, co
2019/9/10, 23, 11, 8, 4, , 
2019/9/11, 21, 12, 7, 5, , 
2019/9/12, 25, 7, 8, 3, , 
2019/9/13, 14, 7, 7, 6, , 
2019/9/14, 16, 5, 8, 4, , 
2019/9/15, 12, 5, 11, 2, , 
2019/9/16, 10, 7, 6, 3, , 
2019/9/17, 14, 4, 8, 2, , 
2019/9/18, 6, 8, 7, 5, , 
2019/9/19, 23, 11, 1, 5, , 
2019/9/20, 34, 12, 3, 6, , 
2019/9/21, 33, 12, 7, 3, , 
2019/9/22, 26, 6, 4, 4, , 
2019/9/23, 17, 7, 11, 5, , 
2019/9/24, 15, 9, 8, 4, , 
2019/9/25, 19, 13, 6, 4, , 
2019/9/26, 29, 7, 6, 5, , 
2019/9/27, 13, 7, 9, 5, , 
2019/9/28, 19, 6, 10, 1, , 
2019/9/29, 14, 5, 11, 1, , 
2019/9/30, 14, 8, 6, 6, , 
2019/10/1, 31, 12, 5, 6, , 
2019/4/2, 32, 12, 10, 13, , 
2019/4/3, 36, 7, 11, 5, , 
2019/4/4, 19, 8, 12, 6, , 
2019/4/5, 35, 6, 12, 4, , 
2019/4/6, 16, 7, 16, 3, , 
2019/4/7, 20, 5, 16, 2, , 
2019/4/8, 12, 6, 10, 7, , 
2019/4/9, 20, 10, 10, 5, , 
2019/4/10, 26, 6, 12, 5, , 
2019/4/11, 16, 5, 14, 3, , 
2019/4/12, 14, 8, 10, 5, , 
2019/4/13, 17, 5, 14, 4, , 
2019/4/14, 15, 6, 14, 3, , 
2019/4/15, 13, 7, 13, 5, , 
2019/4/16, 21, 9, 10, 5, , 
2019/4/17, 29, 7, 11, 4, , 
2019/4/18, 15, 3, 12, 4, , 
2019/4/19, 7, 7, 13, 4, , 
2019/4/20, 15, 8, 10, 2, , 
2019/4/21, 12, 10, 15, 2, , 
2019/4/22, 29, 8, 14, 3, , 
2019/4/23, 21, 8, 10, 5, , 
2019/4/24, 16, 11, 12, 7, , 
2019/4/25, 33, 12, 8, 8, , 
2019/4/26, 43, 13, 11, 7, , 
2019/4/27, 34, 6, 14, 3, , 
2019/4/28, 20, 7, 13, 3, , 
2019/4/29, 20, 10, 11, 7, , 
2019/4/30, 33, 12, 13, 9, , 
2019/5/1, 35, 14, 14, 6, , 
2019/5/2, 46, 12, 11, 5, , 
2019/5/3, 38, 17, 9, 9, , 
2019/5/4, 35, 11, 9, 7, , 
2019/5/5, 33, , , , , 
2019/5/7, 48, 15, 8, 10, , 
2019/5/8, 43, 14, 6, 11, , 
2019/5/9, 50, 11, 6, 10, , 
2019/5/10, 48, 13, 6, 14, , 
2019/5/11, 56, 19, 11, 11, , 
2019/5/12, 52, 12, 10, 4, , 
2019/5/13, 41, 18, 11, 8, , 
2019/5/14, 49, 12, 8, 5, , 
2019/5/15, 29, 6, 8, 11, , 
2019/5/16, 26, 9, 7, 8, , 
2019/5/17, 27, 7, 14, 4, , 
2019/5/18, 26, 8, 13, 5, , 
2019/5/19, 40, 11, 13, 6, , 
2019/5/20, 28, 6, 13, 4, , 
2019/5/21, 17, 9, 8, 7, , 
2019/5/22, 24, 15, 6, 11, , 
2019/5/23, 50, 16, 9, 10, , 
2019/5/24, 43, 10, 9, 13, , 
2019/5/25, 55, 8, 6, 12, , 
2019/5/26, 45, 14, 8, 6, , 
2019/5/27, 29, 18, 14, 10, , 
2019/5/28, 48, 15, 13, 4, , 
2019/5/29, 54, 17, 7, 14, , 
2019/5/30, 60, 21, 11, 11, , 
2019/5/31, 66, 18, 9, 10, , 
2019/6/1, 53, 15, 11, 6, , 
2019/6/2, 36, 12, 14, 3, , 
2019/6/3, 32, 24, 11, 7, , 
2019/6/4, 32, 13, 14, 4, , 
2019/6/5, 33, 12, 11, 5, , 
2019/6/6, 32, 16, 11, 5, , 
2019/6/7, 26, 7, 9, 6, , 
2019/6/8, 25, 8, 10, 3, , 
2019/6/9, 21, 9, 8, 4, , 
2019/6/10, 16, 14, 7, 10, , 
2019/6/11, 36, 11, 6, 9, , 
2019/6/12, 47, 13, 4, 14, , 
2019/6/13, 52, 17, 11, 6, , 
2019/6/14, 46, 12, 9, 5, , 
2019/6/15, 27, 12, 11, 11, , 
2019/6/16, 45, 12, 9, 5, , 
2019/6/17, 32, 12, 7, 8, , 
2019/6/18, 32, 9, 7, 12, , 
2019/6/19, 36, 10, 9, 10, , 
2019/6/20, 48, 11, 8, 9, , 
2019/6/21, 35, 11, 5, 3, , 
2019/6/22, 37, , , , , 
2019/6/27, 56, 6, 10, 3, , 
2019/6/28, 23, 7, 8, 3, , 
2019/6/29, 21, 10, 7, 8, , 
2019/6/30, 32, 11, 10, 4, , 
2019/7/1, 20, 10, 10, 9, , 
2019/1/2, 18, 3, 11, 3, , 
2019/1/3, 10, 3, 8, 6, , 
2019/1/4, 14, 6, 11, 6, , 
2019/1/5, 22, 4, 9, 5, , 
2019/1/6, 14, 5, 12, 3, , 
2019/1/7, 15, 7, 10, 5, , 
2019/1/8, 23, 5, 10, 8, , 
2019/1/9, 20, 4, 9, 8, , 
2019/1/10, 14, 5, 9, 5, , 
2019/1/11, 12, 6, 7, 7, , 
2019/1/12, 23, 10, 1, 7, , 
2019/1/13, 33, 10, 1, 6, , 
2019/1/14, 38, 6, , 7, , 
2019/1/15, 32, 8, 1, 8, , 
2019/1/16, 38, 14, , 9, , 
2019/1/17, 41, 8, 8, 7, , 
2019/1/18, 20, 6, 11, 5, , 
